90	1100	77	1012	165
84	1100	47	1012	148
62	864	97	1100	107
52	748	103	1100	71
84	1029	77	748	146
62	864	97	993	103
52	602	103	1029	60
90	890	77	602	138
84	969	77	371	140
62	778	97	890	99
52	231	103	969	32
90	791	77	231	129
62	778	103	937	94
90	791	47	778	117
84	843	47	661	120
62	541	97	791	78
90	713	47	330	110
84	843	47	125	123
90	1100	56	1009	177
84	1100	75	1009	136
69	627	97	1100	89
73	898	97	1011	109
90	902	56	627	157
84	1100	56	470	165
69	305	97	902	56
73	682	103	1100	89
90	846	56	305	148
84	1011	75	682	125
69	157	97	846	44
73	557	103	1011	80
90	802	56	157	143
84	931	75	557	121
69	14	103	931	29
73	436	103	902	73
84	829	75	362	114
73	202	97	802	49
90	753	75	133	106
91	1300	58	2812	200
85	1300	58	2612	195
72	2417	99	1300	225
94	2700	99	1075	264
77	1100	58	2417	163
91	1075	58	2254	153
85	1300	58	1986	196
72	1790	99	811	185
94	2474	105	1300	252
77	1100	58	1790	166
91	626	58	1465	125
85	1048	90	2148	155
72	1340	105	1100	132
94	1993	99	626	224
77	968	58	1144	152
91	402	58	992	93
85	1048	90	1515	160
94	1275	105	1048	170
72	899	105	878	116
77	968	58	899	149
91	402	58	750	92
85	762	90	1275	125
94	1150	105	762	156
72	658	99	402	86
77	968	58	568	153
91	316	58	415	82
85	762	90	1150	109
72	176	105	968	40
94	1041	99	316	153
77	928	90	928	133
91	163	90	759	63
85	606	90	696	108
94	588	99	163	112
77	928	90	475	130
91	51	90	345	44
85	606	90	301	112
94	189	105	606	63
